PYCR1,SFXN1,ALDH18A1,TUBB3,PAICS,FAM83A,GPT2,ETV4,GOLM1,C9orf140,TOP2A,SRPK1,RCC1,UBE2T,FERMT1,KIF4A,CENPF,CCNB1,ERCC6L,ANLN,CDC6,C16orf59,HMGB3,DLGAP5,OCIAD2,LGR4,ASPM,KIF14,PSAT1,IQGAP3,PLEKHN1,PHKA1,EXO1,KIF26B,PPAT,UHRF1,MDK,TPX2,KIF11,PPP1R14B,BUB1B,E2F8,SPAG5,MEX3A,PDIA4,KIF20A,RECQL4,GPRIN1,DEPDC1,DEPDC1B,KANK3,LIMS2,RAMP2,SPOCK2,RTKN2,PECAM1,GRK5,EMP2,STX11,C13orf15,WWC2,OTUD1,PTPN21,FHL1,JAM2,EPAS1,ADRB2,SH2D3C,EDNRB,DENND3,CAV1,NECAB1,TEK,PRX,RAMP3,SGCG,TAL1,HSPA12B,ACVRL1,FABP4,CLEC3B,ARHGEF15,ANGPT4,USHBP1,GYPE,LDB2,JPH4,FMO2,SGEF,CALCRL,FAM189A2,S1PR1,SEMA3G,PALM2-AKAP2,GPR146,C20orf160,AGER,CLIC5,ARHGAP6,WNT3A,AURKA,CKAP5,Class
M,M,L,M,M,L,M,M,M,M,L,M,M,M,L,L,L,M,L,M,L,M,M,M,M,L,L,L,M,M,L,L,M,L,M,L,L,M,M,M,M,L,M,EL,M,L,M,L,M,M,EH,EH,EH,M,M,EH,EH,EH,EH,EH,H,EH,H,EH,H,EH,EH,EH,H,H,H,M,EH,EH,EH,H,H,EH,EH,EH,EH,H,EH,EH,EH,H,EH,H,M,EH,M,H,EH,M,EH,EH,EH,H,EH,EH,H,L,N
M,L,L,M,L,EL,L,M,EL,M,M,L,M,M,L,M,EL,M,EL,L,M,M,EL,M,M,M,L,L,M,M,L,EL,M,L,L,L,M,M,L,H,M,L,L,M,M,M,L,M,M,M,EH,EH,EH,H,M,EH,H,M,H,EH,M,H,M,EH,EH,H,H,EH,H,M,EH,H,H,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,H,H,H,M,EH,M,EH,EH,H,EH,EH,H,M,H,H,M,EL,N
L,EL,EL,L,L,EL,L,EL,EL,L,L,EL,L,M,EL,L,EL,L,L,L,L,L,L,M,L,EL,EL,L,M,EL,EL,EL,L,EL,L,EL,EL,L,L,L,L,EL,EL,EL,L,L,EL,EL,M,M,M,L,M,L,M,L,L,M,M,M,L,L,L,M,M,L,M,M,H,L,M,H,M,M,M,M,M,L,M,M,M,L,EL,L,M,M,L,M,L,M,M,M,L,L,M,M,M,M,L,L,L,EL,N
L,EL,EL,EL,EL,EL,EL,EL,EL,L,L,EL,L,L,EL,L,EL,L,EL,L,L,EL,EL,M,L,EL,L,L,L,L,EL,EL,L,EL,EL,L,L,L,L,L,L,EL,EL,EL,EL,M,EL,EL,M,M,H,H,EH,H,H,EH,H,H,H,EH,M,H,M,H,EH,EH,H,H,EH,M,H,H,H,H,EH,EH,H,H,H,H,EH,M,H,H,H,H,H,EH,M,EH,H,EH,EH,M,EH,M,H,H,H,H,L,EL,N
L,L,L,L,L,EL,M,M,L,L,L,L,EL,L,L,L,L,L,L,L,L,M,L,EL,M,M,L,EL,L,L,L,L,L,L,L,L,M,L,L,L,L,L,L,M,L,L,M,L,L,L,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,L,M,N
EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,H,H,H,EH,M,H,H,EH,H,H,H,M,H,H,M,H,H,H,H,H,H,H,M,H,M,EH,M,M,H,EH,H,H,EH,M,M,M,H,EH,H,M,H,H,H,H,H,M,H,EH,H,H,EL,L,N
EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,L,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,H,H,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,M,H,EH,EH,H,EH,EH,H,EH,M,EH,H,M,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,H,EH,L,EL,N
EL,EL,EL,EL,EL,L,EL,L,EL,EL,EL,EL,EL,EL,EL,L,L,EL,L,L,EL,L,EL,EL,EL,L,EL,EL,EL,L,EL,EL,M,EL,EL,EL,EL,L,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,L,H,EH,H,EH,H,H,EH,H,H,H,H,H,EH,EH,EH,H,H,EH,H,H,EH,H,H,H,H,EH,H,EH,H,H,H,EH,EH,EH,H,EH,H,EH,H,H,H,H,H,H,EH,H,EH,EH,H,H,L,L,N
EL,L,L,L,L,L,EL,L,L,EL,EL,M,EL,EL,L,EL,EL,L,EL,EL,L,EL,L,EL,L,EL,EL,EL,EL,EL,EL,M,L,L,L,EL,EL,EL,EL,EL,EL,L,M,EL,L,EL,L,L,EL,L,EH,H,H,H,H,H,H,EH,EH,EH,EH,H,H,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,H,EH,H,H,H,H,M,H,EH,M,M,H,H,EH,EH,H,H,EH,EH,EH,H,H,EH,EH,EH,H,EL,M,N
EL,EL,L,L,L,L,L,L,L,L,L,EL,L,EL,EL,L,L,EL,EL,L,L,L,L,L,EL,L,L,L,EL,L,EL,EL,L,M,L,L,L,L,L,L,EL,L,EL,L,L,L,EL,L,L,EL,H,H,H,EH,H,H,H,H,M,H,EH,H,H,H,H,H,M,H,EH,H,H,M,H,EH,H,M,H,H,H,H,H,EH,H,H,H,H,EH,M,H,H,EH,H,H,H,H,EH,H,H,H,EH,EL,L,N
L,L,EL,EL,L,EL,EL,EL,EL,L,EL,L,L,EL,L,EL,L,L,EL,L,EL,L,EL,EL,EL,L,L,L,EL,EL,L,EL,EL,L,L,L,L,EL,L,EL,L,L,EL,EL,L,L,EL,L,EL,EL,EH,EH,H,EH,EH,H,EH,H,EH,EH,EH,EH,EH,H,H,EH,EH,H,H,EH,H,H,EH,H,EH,EH,EH,EH,EH,H,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,H,H,EH,EH,H,H,EH,EH,EH,M,M,N
EL,L,L,L,L,EL,L,L,EL,EL,L,EL,EL,EL,L,EL,L,EL,EL,EL,L,EL,EL,EL,EL,L,L,L,EL,L,EL,L,L,L,EL,EL,L,EL,EL,L,EL,EL,EL,M,L,EL,EL,L,EL,EL,EH,EH,H,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,H,H,H,EH,H,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,H,EH,H,M,L,N
L,EL,EL,L,L,EL,L,M,L,EL,EL,L,EL,EL,EL,EL,EL,EL,L,L,EL,EL,EL,EL,L,EL,EL,L,L,L,M,EL,L,EL,L,L,EL,EL,EL,L,EL,EL,L,EL,L,L,L,EL,L,L,H,H,H,EH,H,H,H,EH,EH,H,H,H,H,H,H,H,H,H,H,H,H,M,H,EH,H,H,EH,H,H,EH,H,H,EH,H,EH,H,H,M,H,M,EH,H,H,H,H,M,H,H,H,EH,L,L,N
EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,L,EL,EL,L,L,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,L,H,M,M,H,H,M,H,H,H,H,H,H,H,EH,H,H,H,H,H,H,H,EH,H,H,M,EH,H,H,M,M,H,H,M,H,EH,M,M,H,H,M,H,H,H,H,M,H,H,EH,H,H,EL,L,N
L,EL,L,M,L,L,EL,L,EL,L,M,M,L,L,EL,M,M,L,M,M,M,EL,L,M,EL,EL,M,M,L,H,M,L,M,L,M,M,L,M,M,L,M,M,H,L,EL,M,M,M,L,M,H,EH,EH,H,M,EH,EH,EH,EH,EH,EH,H,EH,EH,H,EH,EH,M,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,H,EH,M,EH,H,M,EH,H,H,H,H,H,EH,EH,EH,L,H,H,H,EH,EH,L,L,N
L,M,L,L,L,M,M,L,M,L,L,M,L,L,M,L,L,L,M,L,L,L,M,L,L,M,L,L,L,EL,L,M,M,M,M,EL,L,EL,L,L,L,M,L,M,L,L,L,M,L,L,EH,EH,EH,EH,EH,H,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,H,H,EH,EH,H,EH,EH,H,EH,EH,EH,EH,EH,H,H,EH,EH,EH,EH,EH,EH,EH,L,H,N
L,M,L,EL,L,L,L,L,L,L,L,M,L,L,L,L,L,L,L,L,L,EL,L,EL,L,M,M,L,L,L,M,M,L,L,M,L,M,L,M,L,L,L,L,L,L,EL,L,M,L,M,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,L,H,N
L,L,M,M,M,M,L,M,M,L,M,L,L,L,M,M,M,M,M,M,M,L,M,M,M,L,L,L,M,M,L,L,M,M,L,M,L,M,M,L,M,M,M,L,M,M,L,L,M,L,M,M,M,H,H,H,M,H,M,M,H,H,H,M,H,M,H,M,M,M,H,M,M,L,L,M,M,L,M,EH,M,H,H,M,EH,H,H,H,H,L,EH,M,L,M,M,M,M,H,M,M,M,M,N
L,L,L,EL,L,EL,EL,L,EL,EL,EL,L,EL,L,L,L,EL,L,L,EL,L,EL,EL,L,L,EL,EL,EL,EL,L,EL,L,L,EL,L,EL,L,EL,EL,L,L,EL,EL,L,L,L,EL,L,L,L,H,M,H,H,H,H,H,M,H,H,H,H,H,EH,H,M,H,M,M,M,H,H,H,L,M,EH,H,M,M,EH,M,EH,EH,H,H,EH,H,EH,H,M,EH,H,H,H,EH,H,H,H,H,H,L,EL,N
L,L,EL,EL,EL,EL,L,EL,EL,EL,EL,L,EL,EL,L,EL,EL,EL,L,EL,EL,EL,L,EL,EL,L,EL,EL,EL,EL,L,L,L,M,L,EL,L,L,EL,EL,L,EL,EL,L,L,L,EL,EL,EL,EL,H,H,H,H,H,H,EH,H,H,H,EH,H,EH,EH,H,EH,EH,EH,EH,H,H,EH,EH,H,H,EH,EH,H,EH,H,H,M,H,H,M,EH,EH,EH,EH,EH,H,EH,EH,EH,H,H,H,H,EH,H,EL,M,N
L,L,L,L,EL,L,EL,L,L,EL,EL,EL,L,M,L,L,EL,M,L,L,L,L,L,L,M,L,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,L,L,EL,L,EL,L,L,EL,L,L,EL,EL,M,M,H,H,EH,H,H,H,H,H,H,H,H,M,H,M,EH,M,H,H,H,M,EH,EH,H,H,H,H,H,H,H,EH,EH,H,H,H,EH,H,H,EH,H,H,H,H,M,H,H,H,EH,EH,M,H,L,EL,N
EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,H,H,EH,H,H,H,M,M,M,H,M,M,M,M,H,H,M,EH,H,M,M,EH,H,EH,EH,M,H,EH,H,M,H,EH,H,H,H,H,H,M,M,EH,H,H,EH,H,EH,EH,H,M,M,M,EL,EL,N
EL,L,L,EL,L,EL,L,L,L,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,L,EL,EL,EL,L,EL,EL,L,EL,EL,L,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,H,EH,H,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,H,H,EH,EH,EH,EH,EH,EH,EH,H,EH,H,H,EH,H,EH,H,H,H,H,EH,H,H,M,H,EH,H,EH,H,EH,EH,H,H,EH,H,H,EH,EL,L,N
L,EL,L,L,EL,L,EL,L,EL,L,L,EL,L,L,L,L,EL,L,L,L,L,L,L,L,L,EL,L,L,L,L,EL,EL,L,L,EL,L,EL,L,L,L,L,L,L,EL,L,L,EL,L,L,L,H,H,H,H,M,H,M,M,M,M,M,M,M,H,H,H,M,H,H,M,M,M,H,H,H,H,M,H,H,EH,H,H,H,H,M,M,H,M,M,H,M,H,H,M,H,H,H,M,H,H,EL,L,N
EL,L,EL,L,L,EL,L,EL,L,L,L,L,EL,L,EL,EL,L,L,L,EL,L,EL,L,EL,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,M,L,EL,L,M,L,EL,EH,EH,EH,H,H,EH,EH,H,EH,EH,H,EH,H,H,EH,EH,EH,EH,EH,H,H,H,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,H,EH,M,EH,EH,H,H,EH,H,EH,EH,EH,EH,EH,H,H,EH,H,M,L,N
EL,L,L,L,L,M,L,L,L,EL,EL,L,L,EL,EL,L,L,L,M,EL,EL,EL,M,L,L,L,EL,EL,EL,EL,M,M,EL,L,L,EL,EL,EL,EL,EL,EL,L,L,L,L,EL,EL,L,EL,EL,H,H,H,H,H,M,H,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,H,H,EH,EH,H,EH,EH,H,H,H,H,H,H,H,H,H,H,H,H,M,EH,EH,EH,H,EH,EH,H,H,H,EH,EH,H,EH,EL,M,N
L,EL,EL,EL,L,L,L,L,L,L,M,L,L,M,L,M,M,L,M,M,M,M,L,L,L,EL,M,M,L,M,L,EL,M,L,L,M,L,M,M,M,M,M,M,EL,L,M,M,L,L,M,M,H,M,M,H,H,M,H,H,H,M,M,M,M,M,M,M,H,M,M,M,M,M,M,H,M,M,M,H,EH,M,H,EH,M,H,M,EH,M,H,M,M,L,M,M,M,M,H,M,H,H,M,M,N
EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,M,M,M,M,EH,M,H,H,H,H,EH,EH,H,M,H,H,H,H,EH,H,H,H,EH,H,H,H,H,H,M,M,H,M,M,H,M,H,M,H,H,EH,M,H,EH,H,H,M,H,H,H,H,EL,EL,N
L,L,M,M,M,M,M,M,M,L,L,L,L,L,H,M,M,M,M,L,M,M,M,L,M,M,L,EL,M,L,M,M,L,M,M,M,M,L,L,L,L,M,M,M,L,L,L,M,EL,L,M,M,M,M,M,L,M,H,M,L,M,L,M,H,M,L,M,M,L,M,M,M,M,M,M,M,M,M,L,M,M,M,M,M,EH,M,L,H,M,L,H,L,L,M,M,M,M,H,M,M,EL,M,N
EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,L,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,M,M,M,H,EH,H,H,H,H,H,H,EH,H,M,H,H,M,H,H,H,M,H,H,M,H,H,H,M,H,H,M,H,EH,H,EH,H,H,H,H,H,H,M,H,H,H,H,M,H,M,M,EL,L,N
EL,EL,EL,EL,EL,L,EL,L,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,M,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,M,H,M,EH,H,M,H,EH,H,H,EH,EH,EH,H,L,M,H,M,M,H,EH,H,M,H,M,H,M,M,M,H,M,M,H,M,H,M,M,H,EH,M,EH,M,H,H,M,M,EH,EH,M,EH,EL,EL,N
EL,EL,EL,EL,EL,L,L,EL,L,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,M,L,EL,L,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EH,EH,EH,EH,EH,EH,EH,EH,H,H,H,EH,EH,EH,H,EH,EH,EH,EH,EH,H,H,H,EH,EH,H,EH,EH,EH,M,EH,H,H,EH,H,EH,H,H,EH,H,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EL,EL,N
M,L,L,L,L,EL,L,M,EL,L,L,L,L,L,L,EL,L,L,EL,L,M,M,EL,L,L,EL,L,L,L,L,L,EL,L,M,L,M,EL,L,L,L,L,L,L,EL,L,L,L,EL,EL,L,H,M,M,M,H,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,H,M,M,M,M,M,M,M,EH,M,M,H,M,EH,M,H,M,M,M,M,M,M,M,H,M,M,M,M,M,EL,EL,N
L,EL,EL,L,EL,EL,L,EL,L,L,L,EL,L,EL,L,L,L,EL,L,L,L,L,EL,L,L,EL,M,L,L,M,L,EL,L,L,EL,L,EL,L,L,L,M,L,L,L,EL,L,M,L,L,L,M,H,M,M,M,M,M,H,M,M,M,H,H,M,M,M,M,M,M,H,M,M,M,H,H,M,H,H,M,H,H,H,H,H,EH,M,H,L,H,M,H,M,H,M,H,H,M,M,M,M,L,EL,N
EL,L,L,EL,EL,L,L,EL,EL,EL,L,L,EL,L,EL,L,L,EL,L,EL,L,EL,EL,L,EL,L,L,M,L,EL,EL,L,L,EL,EL,L,L,L,L,EL,L,EL,L,L,EL,L,L,L,L,L,H,M,H,EH,EH,H,H,H,H,H,H,H,H,H,EH,H,M,H,EH,H,H,EH,H,H,EH,EH,EH,EH,H,M,H,H,EL,H,H,H,H,H,H,EH,EH,H,EH,H,M,H,H,H,H,H,L,L,N
L,L,L,EL,EL,EL,L,L,L,L,EL,L,L,EL,L,EL,EL,EL,M,EL,EL,L,L,EL,L,L,L,EL,EL,L,L,L,L,L,EL,L,EL,EL,L,EL,EL,EL,L,EL,L,L,L,EL,EL,EL,H,H,H,H,EH,H,H,EH,H,M,H,H,H,H,H,H,H,M,H,EH,H,EH,H,H,M,H,H,H,H,EH,M,H,EH,H,H,M,H,EH,H,H,EH,M,H,H,H,M,M,EH,H,EH,L,L,N
EL,EL,EL,EL,EL,EL,EL,L,EL,L,EL,EL,EL,EL,EL,L,EL,EL,EL,L,L,L,EL,L,EL,L,L,EL,EL,L,M,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,L,L,EL,EL,L,L,EL,L,EH,EH,EH,EH,EH,EH,EH,H,H,H,H,EH,EH,H,EH,EH,EH,EH,EH,EH,H,H,EH,EH,EH,H,EH,EH,EH,H,EH,EH,H,EH,H,EH,EH,EH,EH,EH,H,EH,EH,H,H,EH,H,H,EH,H,L,L,N
EL,L,EL,EL,EL,M,EL,EL,EL,L,L,EL,L,EL,L,L,L,L,L,M,L,EL,EL,L,EL,EL,M,M,EL,L,EL,L,EL,L,EL,L,EL,L,L,EL,L,L,L,EL,EL,L,L,EL,L,M,M,M,M,M,H,M,M,M,M,M,H,H,H,M,H,M,H,M,M,M,H,H,M,H,M,H,H,M,M,M,M,H,M,M,EH,M,M,M,H,H,M,M,M,M,M,H,M,M,H,M,L,EL,N
EL,EL,EL,EL,EL,L,EL,EL,L,EL,EL,EL,EL,L,EL,EL,L,EL,L,EL,EL,L,L,EL,EL,EL,EL,EL,EL,EL,L,L,EL,EL,EL,L,EL,EL,EL,EL,EL,M,L,L,EL,EL,EL,EL,L,L,H,H,H,H,EH,M,H,H,H,H,H,H,EH,H,M,H,H,H,H,H,H,M,H,EH,H,H,H,H,H,H,H,H,M,H,H,H,M,H,H,H,H,H,EH,H,H,H,H,H,H,H,EL,L,N
EL,EL,EL,L,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,L,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,L,L,EL,M,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,M,M,L,M,H,L,M,M,H,M,M,M,M,M,L,L,H,L,M,M,M,M,M,M,L,M,M,L,L,M,M,L,M,M,H,M,M,L,M,L,H,M,L,M,M,M,M,M,M,M,EL,EL,N
EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,L,EL,EL,EL,EL,L,EL,EL,EL,EH,H,H,H,H,M,H,H,M,H,H,M,H,H,H,H,H,H,H,H,H,EH,M,EH,M,H,H,H,M,M,H,H,H,EH,M,M,M,H,H,H,H,H,H,M,H,H,H,H,H,M,EL,EL,N
