PYCR1,SFXN1,ALDH18A1,TUBB3,PAICS,FAM83A,GPT2,ETV4,GOLM1,C9orf140,TOP2A,SRPK1,RCC1,UBE2T,FERMT1,KIF4A,CENPF,CCNB1,ERCC6L,ANLN,CDC6,C16orf59,HMGB3,DLGAP5,OCIAD2,LGR4,ASPM,KIF14,PSAT1,IQGAP3,PLEKHN1,PHKA1,EXO1,KIF26B,PPAT,UHRF1,MDK,TPX2,KIF11,PPP1R14B,BUB1B,E2F8,SPAG5,MEX3A,PDIA4,KIF20A,RECQL4,GPRIN1,DEPDC1,DEPDC1B,KANK3,LIMS2,RAMP2,SPOCK2,RTKN2,PECAM1,GRK5,EMP2,STX11,C13orf15,WWC2,OTUD1,PTPN21,FHL1,JAM2,EPAS1,ADRB2,SH2D3C,EDNRB,DENND3,CAV1,NECAB1,TEK,PRX,RAMP3,SGCG,TAL1,HSPA12B,ACVRL1,FABP4,CLEC3B,ARHGEF15,ANGPT4,USHBP1,GYPE,LDB2,JPH4,FMO2,SGEF,CALCRL,FAM189A2,S1PR1,SEMA3G,PALM2-AKAP2,GPR146,C20orf160,AGER,CLIC5,ARHGAP6,WNT3A,AURKA,CKAP5,Class
EH,EH,EH,H,EH,M,H,H,H,H,H,EH,EH,H,EH,H,H,H,H,H,H,H,H,H,H,H,H,H,EH,EH,H,EH,H,EH,EH,H,H,H,H,EH,EH,H,EH,EH,EH,EH,EH,H,H,H,H,H,M,M,M,EH,EH,H,EH,EH,EH,EH,H,H,H,H,H,EH,H,EH,H,H,H,M,M,M,EH,H,EH,M,H,EH,M,EH,EH,EH,EH,M,EH,H,M,EH,H,EH,EH,EH,M,EH,EH,M,H,EH,T
EH,H,EH,EH,H,H,EH,H,EH,H,H,H,H,H,EH,H,M,H,H,H,H,H,H,H,EH,H,H,H,EH,H,H,H,H,EH,H,H,EH,H,H,EH,H,H,M,H,EH,H,M,EH,H,H,M,H,H,L,L,M,M,L,L,M,L,M,M,M,H,L,L,M,M,L,M,M,M,L,H,L,M,H,H,M,M,M,M,M,M,H,L,H,L,H,L,H,M,M,H,H,L,EL,M,M,H,H,T
EH,H,H,EH,H,EH,H,H,M,EH,EH,H,H,EH,H,EH,H,EH,H,EH,EH,EH,H,H,EH,M,H,H,EH,H,H,H,H,M,H,H,H,H,H,H,H,M,H,H,H,H,EH,H,EH,EH,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,L,L,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,L,EL,L,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EH,EL,T
EH,EH,EH,H,EH,EH,H,M,H,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,M,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,M,EH,EH,EH,EH,EH,EH,EH,H,EH,H,H,EH,EH,EH,EH,EH,L,EL,L,EL,L,L,L,L,L,M,EL,EL,EL,L,L,L,L,EL,M,L,M,L,L,M,L,L,L,L,L,M,M,EL,L,L,L,L,L,L,H,L,L,M,L,L,M,EL,M,L,L,L,EH,H,T
M,H,H,M,M,M,H,M,H,M,M,M,H,M,EH,M,H,M,M,M,L,M,H,M,H,EH,M,M,M,M,M,EH,M,M,H,M,H,M,M,M,M,EH,M,H,M,M,M,M,M,M,L,EL,EL,M,EL,EL,EL,L,L,EL,L,L,L,M,L,EL,L,L,L,L,EL,M,L,L,L,EL,L,EL,EL,EL,L,L,EL,EL,L,L,L,EL,EL,L,M,L,EL,EL,L,EL,L,L,L,EL,L,EH,T
H,H,H,H,L,EH,H,EL,EH,M,H,L,M,H,M,M,M,M,M,H,H,H,EH,H,L,H,H,H,H,M,EL,L,H,M,M,M,M,H,M,M,H,M,H,M,EH,H,M,M,H,H,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,M,L,T
H,EH,H,H,EH,H,EH,M,M,EH,EH,EH,H,EH,H,EH,EH,EH,EH,EH,EH,EH,H,EH,H,M,EH,EH,EH,EH,L,M,EH,EH,EH,EH,H,EH,EH,H,EH,H,EH,EH,M,EH,EH,EH,EH,EH,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,M,EL,L,EL,EL,L,EL,EL,EL,M,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,H,EL,EL,EL,L,EH,EH,T
EH,H,EH,H,EH,EH,EH,EH,EH,H,H,EH,H,H,H,H,EH,H,H,H,H,H,EH,H,EH,EH,H,EH,M,H,H,EH,H,H,H,H,EH,H,H,EH,H,H,H,H,EH,H,EH,M,H,H,EL,L,EL,L,L,L,EL,M,EL,L,H,M,M,L,L,M,EL,L,L,M,EL,EL,L,M,L,L,EL,L,L,L,L,L,M,L,EL,EL,L,L,EL,L,L,EL,L,EL,EL,L,L,L,L,L,H,EH,T
EH,EH,EH,H,EH,EH,EH,M,H,EH,EH,EH,EH,H,H,H,EH,EH,L,EH,EH,EH,M,EH,H,EH,EH,EH,H,EH,H,H,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EL,L,EL,EL,EL,L,L,EL,L,EL,EL,L,L,L,L,EL,EL,L,EL,L,M,L,EL,EL,EL,L,L,EL,L,EL,EL,L,M,L,EL,L,M,L,M,L,L,L,L,M,L,L,EL,EL,L,EL,EH,EH,T
H,H,H,H,H,H,H,EH,H,M,M,H,M,H,M,M,H,M,M,M,M,H,EH,M,H,EH,H,H,M,H,H,EH,H,H,H,M,H,M,M,H,M,M,M,H,H,M,L,H,M,M,EL,L,EL,L,EL,L,EL,L,EL,L,L,L,L,EL,EL,L,L,L,L,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,L,EL,L,EL,L,EL,EL,EL,L,L,EL,M,L,EL,EL,EL,L,L,L,EL,EL,H,H,T
H,EH,H,H,H,EH,H,H,H,H,H,H,H,EH,H,H,H,EH,H,H,H,EH,M,H,H,EH,H,H,M,H,M,EH,EH,EH,M,H,L,EH,EH,H,EH,EH,H,H,M,H,H,EH,H,H,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,L,EL,EL,L,EL,EL,EL,EL,EL,L,EL,L,EL,L,EL,L,L,L,EL,EL,L,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,H,H,T
M,EH,H,H,EH,EH,M,M,H,EH,H,H,H,H,H,H,H,EH,H,H,H,H,H,EH,H,H,EH,EH,M,EH,H,H,H,H,H,H,L,H,EH,EH,EH,H,EH,M,EH,H,H,H,EH,EH,L,EL,EL,L,L,L,L,EL,L,L,L,L,L,L,EL,L,EL,L,L,L,L,EL,L,L,EL,L,L,L,L,M,L,L,M,EL,L,L,L,EL,EL,L,EL,L,EL,L,L,L,L,L,L,L,H,M,T
H,H,EH,H,H,EH,EH,H,EH,H,H,EH,H,H,H,H,H,H,H,H,H,EH,H,H,M,EH,EH,EH,M,EH,EH,EH,H,EH,H,H,H,H,H,H,H,EH,H,M,EH,H,H,H,H,H,L,EL,EL,M,L,L,L,L,L,EL,L,EL,EL,EL,L,L,EL,L,L,L,L,EL,L,EL,L,EL,L,L,L,L,L,EL,EL,L,L,L,EL,L,L,L,EL,L,L,L,L,EL,L,L,EL,L,H,H,T
EH,H,EH,L,H,M,EH,H,EH,H,H,EH,H,M,EH,H,H,L,H,H,M,M,L,M,EH,EH,H,H,L,H,EH,H,M,L,H,H,M,M,H,M,M,M,M,M,EH,M,M,M,H,M,L,L,L,L,M,L,M,M,EL,L,L,M,M,M,L,M,L,L,M,M,L,M,M,M,L,M,L,L,EL,EL,M,M,L,L,M,L,L,L,L,M,M,L,M,L,M,L,M,M,M,M,M,H,T
H,H,H,H,M,H,EH,EH,H,H,M,H,EH,H,H,H,H,M,H,H,M,H,H,H,L,EH,H,H,H,H,EH,H,H,EH,H,M,H,M,H,H,M,H,H,H,H,M,H,H,M,M,M,M,M,L,EL,L,L,L,L,M,L,L,L,M,M,M,L,L,M,M,L,L,M,L,M,EL,M,L,L,L,M,M,EL,M,L,M,L,L,M,M,M,M,M,L,L,M,L,L,H,M,M,H,T
M,M,M,M,M,M,EH,H,H,M,L,M,M,L,EH,L,M,L,L,EL,M,M,L,EL,M,H,EL,EL,H,EL,L,H,EL,M,M,M,M,EL,L,L,L,H,M,M,M,L,L,L,EL,L,L,L,L,L,L,EL,L,L,L,L,M,L,M,M,M,EL,M,L,L,L,L,L,L,L,L,EL,M,M,EL,L,L,L,M,M,M,H,M,M,M,EL,M,M,M,EL,L,L,M,M,M,L,L,H,T
M,H,H,EH,EH,H,H,H,H,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,H,EH,EH,EH,H,M,H,EH,H,H,EH,H,EH,EH,EH,EH,EH,EH,H,EH,EH,H,H,EH,EH,L,L,M,EL,EL,L,L,EL,L,EL,L,EL,L,L,L,EL,M,M,EL,EL,M,EL,L,EL,L,EL,L,M,L,L,EL,M,EL,L,EL,L,EL,EL,EL,L,EL,L,L,M,L,L,EL,EL,L,L,EH,H,T
H,M,H,H,H,H,H,H,EH,H,EH,H,H,EH,H,EH,EH,EH,EH,EH,H,EH,H,EH,H,EH,EH,EH,M,EH,H,M,EH,H,L,H,EH,EH,EH,M,EH,EH,EH,H,L,EH,H,H,EH,H,L,EL,L,EL,L,L,EL,L,EL,L,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,L,L,EL,EL,EL,L,EL,EL,EL,M,L,EL,EL,EL,L,L,EL,EL,L,EL,L,EL,EL,EL,EL,L,L,L,EL,L,EH,M,T
EH,EH,EH,H,H,EH,L,M,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,H,EH,EH,EH,H,EH,EH,EH,EH,M,EH,EH,EH,H,EH,EH,H,EH,EH,EH,EL,EL,EL,L,L,L,L,EL,L,EL,EL,EL,L,EL,L,M,EL,L,L,EL,EL,EL,L,M,L,L,EL,EL,EL,EL,EL,L,L,L,EL,EL,L,L,EL,L,EL,EL,L,L,EL,L,EL,EL,L,L,EH,EH,T
EH,H,EH,M,H,H,H,EH,H,M,H,H,EH,H,H,H,H,H,H,H,H,H,EH,H,H,H,H,H,H,H,H,H,H,EH,H,H,H,H,H,H,H,H,H,H,EH,H,M,H,H,H,L,M,M,M,M,M,L,M,L,M,M,L,L,L,M,M,M,M,L,L,L,L,M,M,L,M,M,L,M,M,M,L,M,M,L,M,M,M,L,M,L,M,M,L,M,M,M,L,M,M,H,H,T
H,EH,H,EH,EH,EH,M,H,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,H,H,EH,EH,EH,H,H,EH,EH,EH,EH,H,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,H,EH,EH,EH,EH,EH,EL,L,L,L,L,L,L,M,L,L,M,L,L,L,L,L,L,L,M,L,L,L,M,L,M,L,L,L,L,M,L,L,M,EL,L,L,M,L,M,L,L,L,M,H,L,L,L,L,L,L,EH,EH,T
EH,H,H,EH,H,EH,M,H,M,EH,H,H,M,EH,M,H,H,EH,EH,EH,H,H,H,H,EH,M,H,H,EH,EH,H,H,H,M,EH,EH,EH,H,H,EH,H,H,H,EH,M,H,EH,EH,H,H,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,M,EL,L,EL,EL,L,EL,EL,L,EL,EL,EL,H,H,T
H,L,H,M,H,M,H,H,EH,H,M,H,M,M,M,M,M,M,M,M,M,M,EH,M,H,EH,M,M,H,M,H,H,M,M,M,M,L,M,M,H,M,M,M,L,M,M,M,M,M,L,L,L,L,EL,EL,EL,EL,M,EL,L,L,EL,L,L,EL,L,EL,L,M,L,M,M,EL,M,L,EL,L,EL,L,L,L,L,L,L,M,EL,EL,EL,L,EL,L,EL,L,EL,L,EL,M,L,EL,L,L,M,T
EH,EH,EH,H,H,H,M,H,M,H,H,H,H,H,M,H,H,H,H,H,H,M,H,H,H,H,H,H,H,H,H,H,H,EH,H,H,M,H,H,M,H,H,H,M,EH,H,M,EH,H,H,L,L,L,L,EL,M,L,EL,L,M,L,M,L,L,L,L,L,M,L,M,L,L,L,L,EL,M,L,L,M,M,EL,M,M,L,L,L,M,M,L,L,EL,L,EL,L,M,L,EL,EL,M,EL,M,H,T
M,H,M,EH,EH,M,EH,EL,M,EH,EH,M,M,EH,M,EH,EH,H,EH,H,EH,H,EH,EH,L,M,EH,EH,H,H,M,H,EH,M,EH,H,M,H,EH,H,EH,EH,EH,EH,M,H,EH,EH,EH,EH,M,M,M,M,M,M,M,M,M,M,L,M,L,M,M,M,M,M,M,M,M,M,H,M,H,M,M,M,M,M,M,M,M,M,L,M,M,M,M,M,L,M,M,M,M,M,M,M,M,M,H,EH,T
H,H,M,M,H,EH,EH,EH,H,M,H,H,M,M,M,H,H,H,H,H,H,M,EH,H,H,M,H,H,H,H,M,M,H,H,H,H,M,H,H,M,M,M,H,EH,M,H,H,H,H,H,EL,EL,EL,L,L,EL,EL,L,L,L,EL,L,EL,EL,L,L,EL,EL,L,L,EL,EL,L,L,L,L,L,EL,L,L,L,L,EL,L,L,L,EL,L,L,L,EL,L,L,EL,EL,EL,L,L,EL,L,EH,H,T
EH,H,EH,EH,H,H,EH,EH,H,M,EH,H,H,H,EH,EH,EH,H,EH,H,EH,EH,H,EH,H,EH,EH,EH,EH,EH,H,H,EH,EH,EH,EH,EH,EH,EH,H,H,H,H,EH,H,EH,H,H,EH,H,L,L,L,EL,L,L,L,M,EL,L,M,L,M,L,L,L,L,L,L,EL,EL,L,L,EL,EL,L,L,L,L,L,EL,L,M,EL,L,L,L,M,L,L,L,L,L,L,L,L,L,M,L,EL,EH,EH,T
H,H,EH,M,H,EH,EH,H,M,H,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,L,M,EH,EH,EH,H,M,M,EH,EH,H,EH,M,EH,EH,H,EH,EH,EH,EH,H,EH,EH,M,EH,EH,EL,L,EL,EL,L,EL,EL,EL,EL,EL,L,L,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,L,EL,L,EL,EL,EL,EL,EL,EH,EH,T
H,EH,H,H,H,H,H,EH,EH,H,EH,EH,EH,H,H,EH,EH,H,EH,EH,EH,EH,H,H,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,H,H,H,EH,EH,EH,EH,EH,EH,H,EH,L,L,L,M,L,L,L,EL,M,L,L,L,M,M,M,M,M,H,M,M,L,L,M,M,M,M,L,L,M,L,L,M,M,M,M,L,L,M,M,M,L,M,M,L,M,L,L,M,L,M,EH,EH,T
EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,M,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,L,M,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,L,L,L,EL,EL,EL,EL,L,EH,EH,T
EH,EH,H,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EL,EL,EL,EL,M,EL,L,EL,EL,EL,L,L,M,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,M,L,M,EL,EL,H,EL,EL,EL,EL,EL,EL,EH,EH,T
M,M,M,M,L,H,L,H,H,L,L,L,L,L,M,EL,L,EL,M,EL,L,L,EH,L,M,M,L,L,H,L,H,M,L,H,L,L,EH,L,EL,H,L,L,L,L,H,EL,L,M,L,L,EL,EL,EL,EL,EL,EL,EL,L,L,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,T
M,EH,H,EH,EH,M,EH,M,M,EH,EH,H,EH,EH,H,EH,EH,EH,EH,H,EH,EH,H,EH,H,H,EH,EH,EH,EH,M,M,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EL,EL,M,L,M,EL,L,L,L,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,M,EL,EL,L,L,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,L,EL,L,EL,EL,EL,EL,EH,EH,T
EH,EH,EH,EH,EH,M,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,H,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,M,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,L,M,L,M,L,M,M,L,M,L,L,M,L,L,M,L,EL,M,EL,L,L,M,EL,M,L,EL,L,M,M,EL,EL,L,L,L,L,L,L,L,L,H,EL,L,M,L,L,M,EL,EL,M,EL,EH,EH,T
EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,M,L,M,M,M,M,M,L,M,M,M,M,M,L,M,H,L,M,M,M,L,M,M,M,M,L,M,M,M,L,M,M,L,M,L,M,M,M,M,M,M,M,M,L,M,M,M,M,M,M,EH,EH,T
M,M,M,M,M,H,M,EH,M,H,H,M,L,M,H,H,H,H,H,H,H,H,EH,H,L,EL,H,H,H,H,M,H,H,H,M,H,H,H,H,L,H,M,H,H,H,H,H,M,H,H,L,EL,EL,L,L,EL,EL,EL,L,EL,EL,L,EL,L,L,EL,L,L,L,L,L,L,L,EL,EL,L,L,L,L,L,L,L,L,L,L,L,EL,L,EL,L,EL,L,L,L,L,EL,L,L,EL,L,H,M,T
H,M,H,L,M,M,M,M,M,M,M,M,H,H,M,M,M,M,H,M,L,H,M,M,H,H,M,M,M,M,H,H,M,EL,M,L,H,M,M,M,M,M,M,H,L,M,M,EL,M,M,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,M,EL,EL,EL,EL,EL,L,L,EL,EL,H,EL,T
EH,H,H,EH,H,EH,H,M,H,EH,H,H,H,EH,H,EH,EH,EH,EH,EH,H,H,EH,EH,M,H,EH,EH,EH,H,H,EH,EH,EH,H,H,H,EH,EH,H,EH,EH,H,H,M,EH,H,H,EH,H,L,L,L,EL,EL,M,L,EL,EL,EL,L,EL,L,L,L,L,EL,L,EL,EL,L,EL,L,EL,L,EL,L,M,L,L,EL,M,EL,M,EL,L,EL,L,EL,L,EL,L,L,L,L,L,EL,EL,L,EL,EH,M,T
M,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,M,M,M,M,M,M,M,EL,M,L,M,L,M,L,M,L,M,M,L,M,M,L,L,L,M,L,M,M,M,L,L,M,L,M,L,M,M,M,M,M,L,M,M,M,L,L,EL,L,M,L,EH,EH,T
H,M,M,H,H,H,H,H,H,H,EH,H,EH,H,EH,EH,H,H,EH,EH,EH,H,H,EH,H,M,H,H,H,EH,H,M,EH,H,H,EH,EH,EH,H,H,H,H,EH,EH,H,EH,EH,H,H,EH,L,EL,L,L,L,L,L,EL,L,L,EL,EL,EL,EL,L,EL,L,L,L,L,EL,L,L,L,L,EL,L,L,L,EL,L,L,L,L,EL,L,L,EL,EL,L,L,L,L,L,L,L,L,L,L,EL,H,H,T
M,M,M,H,M,H,H,H,H,M,M,M,EH,M,M,M,M,M,M,M,L,M,M,M,H,M,L,M,M,M,EH,H,L,H,L,M,EH,M,L,M,M,M,L,M,H,M,H,H,M,M,EL,L,EL,L,EL,EL,EL,EL,EL,L,EL,L,L,L,EL,EL,L,EL,EL,EL,L,EL,EL,L,EL,M,EL,EL,EL,EL,L,EL,L,EL,EL,EL,L,L,EL,EL,L,EL,EL,L,EL,EL,EL,EL,L,L,L,L,T
